,content,id,lat,location,lon,time,user,user_id
288,"I can see why they cut this, but I also feel like they did Finn’s personal arc a disservice by it https://t.co/SBt7CiZjE9",971525174397947904,,"Boston, MA",,2018-03-07 23:17:06,heymermaid,16854309
29,"“This mandolin scares me.”                        📸@coco4544 hdrisc_art @ Boston, Massachusetts https://t.co/m1ATz7hC0w",971525432330866688,,"Boston, MA",,2018-03-07 23:18:07,baerdmusic,879048893803237376
290,.@alexspeier asks: Is the job of a starting pitcher to throw 200 innings? https://t.co/54LPHKf9AN,971525174230216704,,"Boston, MA",,2018-03-07 23:17:06,BostonGlobe,95431448
291,"RT @techreview: Trump says a trade war is ""easy"" for America to win, but tech firms could struggle. https://t.co/TiaIXGJ0oI",971525173668208640,,Other Location,,2018-03-07 23:17:06,gixtools,2593702652
292,"In honor of National Nutrition Month, check out these great tips for cutting your sugar intake:  https://t.co/d6QZyYeV95",971525172447645696,,Other Location in MA,,2018-03-07 23:17:05,LMRCNursing,1089514890
293,@therealroseanne I think it’s going to be great. I hope it will go to another season if all are on board,971525172187549696,,"Boston, MA",,2018-03-07 23:17:05,joiacicolini,62992652
294,"Trump says a trade war is ""easy"" for America to win, but tech firms could struggle. https://t.co/TiaIXGJ0oI",971525171273138176,,"Cambridge, MA",,2018-03-07 23:17:05,techreview,15808647
295,"RT @CHS_WALKOUT2018: Meeting is post poned till Friday! There is no school tomorrow everyone. Please stay warm, stay safe. Don’t forget to…",971525171264749568,,"Boston, MA",,2018-03-07 23:17:05,ahhhdani,920408601461772288
297,stinky zombie man nearby 🧟‍♂️🧟‍♂️🧟‍♂️🧟‍♂️ https://t.co/szn7uVCJ8H,971525171063459840,,"Boston, MA",,2018-03-07 23:17:05,cwabmeat,4889060884
298,MITERS door is open! 2018-03-07 18:17:04,971525170434400256,,"Cambridge, MA",,2018-03-07 23:17:05,MITERS_DOOR,709157849520279552
299,#Boston! Our events tonight are cancelled due to inclement weather but we’ll be back at… https://t.co/CYZCJGtEjW,971525170195202048,-71.0617,"Boston, MA",42.3578,2018-03-07 23:17:05,thinktanktrivia,436079040
30,@KTLA  https://t.co/FGXeZkJzTs,971525432154705920,,"Boston, MA",,2018-03-07 23:18:07,TomSullBoston,1477707607
301,@ARamosofficial I'M NOT CRYING YOU'RE CRYING https://t.co/PhewB9iGK1,971525167594708992,,"Boston, MA",,2018-03-07 23:17:04,SaraBourjjai,737679682137673728
303,@Organics4Free @KevinMKruse @AMluvinit2 https://t.co/A1OOwcPb8K,971525166223314944,,"Boston, MA",,2018-03-07 23:17:04,RKJ65,825062760954355712
304,I liked a @YouTube video https://t.co/PPAWchqrBf Tina Turner - Sarvesham Svastir Bhavatu (Peace Mantra),971525163958308864,,"Boston, MA",,2018-03-07 23:17:03,cpmondello,19675724
305,“One solution? Universal health care... just do it. We need to be committed to implementing it.” – @Atul_Gawande on… https://t.co/gmBwhbYZ65,971525163715039232,,"Cambridge, MA",,2018-03-07 23:17:03,JFKJrForum,38429399
307,@altheyyoung Hahahahaha. Bala ka 😂,971525160632111104,,"Cambridge, MA",,2018-03-07 23:17:03,Captainrabbids,764236216736755712
308,"RT @lemondemon_bot: from the moment that we met i've been awake, like i've never been awake all my life",971525160628080640,,Other Location,,2018-03-07 23:17:03,SmashPro_,840588748446408704
31,"RT @razlime: ""If 'progressive' anti-choice Christians push for universal healthcare — fine. But incorporating them into a movement strategy…",971525431269748736,,Other Location in US,,2018-03-07 23:18:07,dzcoinfiltrator,743976535745400832
312,"@Thomas1774Paine Harvard, liberal land, where TAs do the teaching, trading on past reputation, example of a Harvard… https://t.co/tO7NtVYTly",971525157406871552,,"Boston, MA",,2018-03-07 23:17:02,M08D26,123374666
